Name,Approved,Content pillar,Date,Description,Files & Media,Format,Notes,Plataform,Status
What we do,Yes,"Brand, FAQS","February 25, 2026","We track short campaigns in real time, monitoring how narratives evolve and how markets respond.

But reporting is only the first layer. We examine the structure behind each thesis, the incentives at play, and the credibility of the claims.

Because understanding the downside requires more than headlines.

Comment “NEWSLETTER” to receive our weekly short-selling insights 📩","4.png, 4-2.png, 4-3.png, 4-4.png, 8_(1).png",Carousell,,"Facebook, Instagram, TikTok",Pending
Data +1000 reports…,Yes,Brand,"March 9, 2026",,Story_3.png,Story,,"Facebook, Instagram",Pending
Serious Investors,Yes,Educational,"March 12, 2026","Serious investors don’t ignore the short side.
We track activist reports, market reactions, and performance trends as they unfold — compiling the data and providing the context needed to evaluate what truly matters.
From real-time developments to structured monthly recap reports, our coverage focuses on clarity, evidence, and measurable outcomes.
Comment NEWSLETTER to receive access 💬",https://drive.google.com/file/d/1Tpke6TpHiuizxsU8Uvc7HKwAZ2YqydCw/view?usp=sharing,Reel,,"Facebook, Instagram, TikTok",Pending
US Short selling ATH,No,Events / News,"March 6, 2026","Short selling activity has climbed to its highest level since 2016, signaling a clear shift in market positioning.

Exchange data shows billions of shares sold short daily across U.S. markets, with short interest in some sectors exceeding 20–30% of float — levels historically associated with elevated risk and volatility.

Follow us for structured insight into the downside of the market 📉",11.png,Post,,"Facebook, Instagram, TikTok",Pending
We are the short side,Yes,"Advertising, Brand, Educational","March 4, 2026",,Story_1.png,Story,,"Facebook, Instagram, TikTok",Pending
What to know when…,Yes,"Brand, Educational","March 20, 2026","When markets fall, positioning changes.

Some investors step back. Others reposition for downside exposure.

Understanding short selling — and the risks tied to it — becomes critical during periods of volatility. It’s not only about price direction, but about conviction, timing, and structure.

Market stress reveals strategy.

Follow for more insight into the short side of Wall Street 📉",https://drive.google.com/file/d/1sB9xhHpFTWRRH0SqD1aZRGeF9V7B19Nq/view?usp=sharing,Reel,,"Facebook, Instagram, TikTok",Pending
"Wall Street ",Yes,"Advertising, Brand","February 28, 2026","Investors should understand exactly why stocks are going down.

We analyze the data, break down activist short reports, and organize the context so you can make informed decisions with clarity.

Visit our website for weekly activist short reports, data-backed analysis, and historical context. 

Welcome to the Short Side of Wall Street 📉",https://drive.google.com/file/d/1Vim42C8BJ1nQITLTgSEtSsSNfh5Epvsh/view?usp=sharing,Reel,,"Facebook, Instagram, TikTok",Pending
What is Short Selling,Yes,FAQS,"March 3, 2026",,Story_4.png,Story,,"Facebook, Instagram",In Progress
Who we are,Yes,Brand,"February 26, 2026","Understanding the short side of the market takes more than headlines.
It takes research, collaboration, and a commitment to accuracy — every single time. Explore more at activ8insights.com.","7_(1).png, 7-2.png, 7-3.png",Carousell,,"Facebook, Instagram, TikTok",Pending
Robinhood,No,Events / News,"March 10, 2026","In case you missed it: Robinhood rolled out short selling back in December, bringing a traditionally restricted strategy to a retail-first platform.
For years, short selling has largely been the domain of institutions, hedge funds, and experienced traders with access to margin and sophisticated tooling.

Robinhood introducing short selling shifts that dynamic. Here’s why: it lowers the barrier to entry by bringing a traditionally restricted strategy into a retail-first platform — meaning more participants can express a bearish view without needing institutional infrastructure. That can increase short activity and liquidity in certain names, but it can also amplify crowd behavior around highly debated stocks, where narratives move fast and positioning becomes part of the story.

It also raises an important practical question for investors: access doesn’t equal advantage. Short selling comes with real constraints — borrow availability, borrow costs, buy-ins, and short squeeze risk — and those factors can matter more than the thesis itself.
Follow us for more market news!",1_(3).png,Post,,"Facebook, Instagram, TikTok",Pending
What sets our coverage apart,Yes,Brand,"March 16, 2026","Breaking news without context rarely tells the full story. 
A short report can move headlines and price action fast — but judging its credibility takes more than a reaction. It takes history: prior performance, researcher track records, and measurable outcomes. 
That’s what we do at Activ8Insights. We track activist short campaigns in real time and connect reporting with performance data — so you can see both the narrative and the numbers behind it.
Explore the data at activ8insights.com 🔎","3_(2).png, 3-2.png",Carousell,,"Facebook, Instagram, TikTok",Pending
"Crypto ",Yes,Educational,"March 23, 2026","Crypto markets often move so fast that narratives can outrun verification. In that environment, short sellers play a distinct role: they challenge claims, stress-test token economics, and scrutinize governance structures that may escape mainstream attention.
That doesn’t make every short thesis correct — but it does make the work worth examining critically, especially when information gaps are wide and incentives are misaligned.
Comment “CRYPTO” to read the full article. 🔎",5_(1).png,Post,,"Facebook, Instagram, TikTok",Pending
I want to short a stock,Yes,"Educational, FAQS","March 30, 2026","Short selling isn’t new — it’s been part of how markets process skepticism, uncover risk, and correct pricing over time. Understanding it matters, especially when sentiment runs ahead of fundamentals.
Follow for more.",https://drive.google.com/file/d/1870qQpWypGYBDzQj_MdIRlqoWEvYiQ55/view?usp=sharing,Reel,,"Facebook, Instagram, TikTok",Pending
Understand short selling,Yes,Educational,"April 7, 2026","Here’s a real-world way to understand short selling: borrow something, sell it, then aim to buy it back later at a lower price. The mechanics are simple — the risk isn’t.

What other market concept would you like us to explain in a future video? Comment below.",https://drive.google.com/file/d/1CkFN_o1p5Fnvojl6Do27rWXSXn5QvoG0/view?usp=sharing,Reel,,"Facebook, Instagram, TikTok",Pending
